 enthalpy p
 -1.677973714901535E8 191996.8763431799
 -1.6778574604206708E8 188779.1676680803
 -1.677741468866044E8 185561.4589929807
 -1.6776257384065998E8 182343.75031788112
 -1.6775102672324097E8 179126.04164278152
 -1.6773950535543287E8 175908.33296768193
 -1.6772800956036636E8 172690.62429258233
 -1.6771653916318497E8 169472.91561748274
 -1.677050939910128E8 166255.20694238314
 -1.6769367387292358E8 163037.49826728355
 -1.6768227863990974E8 159819.78959218395
 -1.676709081248527E8 156602.08091708436
 -1.676595621624932E8 153384.37224198476
 -1.6764824058940265E8 150166.66356688517
 -1.6763694324395475E8 146948.95489178557
 -1.6762566996629786E8 143731.24621668598
 -1.6761442059832793E8 140513.53754158638
 -1.6760319498366162E8 137295.8288664868
 -1.6759199296761048E8 134078.1201913872
 -1.675808143971552E8 130860.4115162876
 -1.6756965912092057E8 127642.702841188

 -1.963808370385448E8 277876.44345349364
 -1.9637959733216596E8 359979.5323671553
 -1.963782961370578E8 442082.62128081697
 -1.9637693424369413E8 524185.7101944786
 -1.9637551242700687E8 606288.7991081403
 -1.963740314467991E8 688391.888021802
 -1.9637249204814515E8 770494.9769354636
 -1.9637089496177742E8 852598.0658491253
 -1.9636924090445966E8 934701.1547627869
 -1.9636753057934883E8 1016804.2436764486
 -1.9636576467653137E8 1098907.3325901101
