 gibbs p
 -3.244284218358373E8 190160.88548186846
 -3.2489914323127866E8 167205.17851266355
 -3.2544016350344914E8 144249.47154345864

 -3.200721582942226E8 999716.7909934947
 -3.200494117068014E8 1922499.564627042
 -3.200266775939444E8 2845282.338260589
 -3.2000395586921716E8 3768065.1118941363
 -3.1998124644729096E8 4690847.885527683
 -3.1995854924392134E8 5613630.659161231
 -3.199358641759276E8 6536413.432794778
 -3.199131911611725E8 7459196.206428325
 -3.1989053011854315E8 8381978.980061872
 -3.198678809679317E8 9304761.753695419
 -3.1984524363021654E8 1.0227544527328966E7
 -3.198226180272444E8 1.1150327300962513E7
 -3.198000040818128E8 1.207311007459606E7
 -3.197774017176523E8 1.2995892848229608E7
 -3.1975481085941017E8 1.3918675621863155E7
 -3.197322314326337E8 1.4841458395496702E7
 -3.197096633637541E8 1.5764241169130249E7
 -3.196871065800712E8 1.6687023942763796E7
 -3.1966456100973755E8 1.7609806716397345E7
 -3.196420265817442E8 1.8532589490030892E7
 -3.196195032259055E8 1.945537226366444E7
 -3.1959699087284523E8 2.0378155037297986E7
 -3.195744894539828E8 2.1300937810931534E7
 -3.1955199890151894E8 2.222372058456508E7
 -3.1952951914842355E8 2.3146503358198628E7
 -3.1950705012842166E8 2.4069286131832175E7
 -3.194845917759813E8 2.4992068905465722E7
 -3.1946214402630115E8 2.591485167909927E7
 -3.194397068152981E8 2.6837634452732816E7
 -3.194172800795954E8 2.7760417226366363E7
 -3.193948637565116E8 2.868319999999991E7

 -3.2007215829421455E8 999716.7909934947
 -3.201783901178771E8 970436.0234461867
 -3.202880609255367E8 941155.2558988787
 -3.2040138761352366E8 911874.4883515707
 -3.205186083252723E8 882593.7208042627
 -3.2063998531963754E8 853312.9532569547
 -3.2076580834020567E8 824032.1857096467
 -3.2089639859441936E8 794751.4181623387
 -3.2103211347995174E8 765470.6506150307
 -3.211733522333149E8 736189.8830677227
 -3.213205627254454E8 706909.1155204147
 -3.214742496956173E8 677628.3479731067
 -3.2163498480521053E8 648347.5804257987
 -3.218034190164128E8 619066.8128784907
 -3.2198029797244334E8 589786.0453311827
 -3.2216648129735774E8 560505.2777838747
 -3.22362967078777E8 531224.5102365667
 -3.225709232990482E8 501943.74268925865
 -3.2279172872443235E8 472662.97514195065
 -3.230270268875002E8 443382.20759464265
 -3.232787985401897E8 414101.44004733465
 -3.2354946072219455E8 384820.67250002665
 -3.2384200511402214E8 355539.90495271864
 -3.241601959909885E8 326259.13740541064
 -3.245088615181843E8 296978.36985810264
 -3.248943367533877E8 267697.60231079464
 -3.253251643117554E8 238416.8347634866
 -3.258132564891966E8 209136.06721617858
 -3.26375939659081E8 179855.29966887055
 -3.270398310726428E8 150574.53212156252
 -3.2784895861098355E8 121293.76457425448

 -3.20959556580338E8 1222709.0575304683
 -3.209367016241498E8 2138058.755612783
 -3.209138604787606E8 3053408.453695098
 -3.208910330415949E8 3968758.1517774127
